date,time,timetaken,cs,csmethod,csuri,scstatus,bytes,useragent,site
2018-07-30,00:00:16,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:00:16,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:00:19,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:00:22,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:00:25,0.004,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:00:46,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:00:49,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:00:52,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:00:55,0.002,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:01:16,0.002,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:01:19,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:01:22,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:01:25,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:01:46,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:01:49,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:01:52,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:01:55,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:02:16,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:02:19,0.002,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:02:22,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:02:25,0.002,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
2018-07-30,00:02:46,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:02:49,0.003,-,GET,/hphis/axis/HL7Service,200,131,-,-,prohospital01:7110
2018-07-30,00:02:52,0.003,-,GET,/hphis/axis/HL7Filler,200,130,-,-,prohospital01:7110
